,Unnamed: 0,Reviewer Details, Effectiveness Rating, Ease_of_Use Rating, Satisfaction Rating, Comment,Age,Gender
18,18, ladyhummingbird| 55-64 Female  on Treatment for 10 years or more (Patient) ,5,5,5,My pain is chronic and severe. Mornings are the worst and at night it will awaken me. I take my methadone and it takes the pain from 10 down to 2. I have no bad side effects of any kind although I take the pill form 10mg.,55-64,Female
19,19, HeatherGo| 35-44 Female  on Treatment for 10 years or more (Patient) ,5,5,5,My husband and I were in a car accident in October 2001| from which I am now paraplegic. Within a few months of my accident| I began having horrible pain in my hips. I was diagnosed with chronic pain due to Heterotopic Ossification| or bone growing in my hip joints. I started seeing a pain management doctor and for like two months he tried me on everything imaginable and nothing| NOTHING worked. I ended up going back in the hospital for other reasons and they started me on methadone and finally I had relief! It wasn't complete relief but I was able to function and live again. Since I first began taking it| doctors have decreased it| I currently take 40mgs three times a day along with Neurontin and Percocet and I've found that taking the three medicines together is what works the best for me. I still have my bad days| like we all do I'm sure| but I am just so very thankful that I found a combination that works well for me and gives me relief enough to be able to get out and live life| happily. This medicine has truly been a Godsend. I hope maybe I help others in some way by sharing my story. Take care....,35-44,Female
20,20, Zarr| 45-54 Male  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,This med is a God send. I have PAD (Peripheral Artery-Disease and neuropathy of the legs. I have been in this drug for 3yrs. I could not live life without.,45-54,Male
22,22, 19-24 Male  on Treatment for 6 months to less than 1 year (Patient) ,4,4,5,"I know this is a long review but I think it will be helpful for someone to read it in full. This is the best treatment for my addiction for me. I tried doing it on my own| I tried Suboxone| but I still had intense cravings. That is what bothers me the most| the cravings more than the physical withdrawals. Don't get me wrong though| I still hated the physical part. I was abusing Roxicdone and I would take up to 80 mg a day of it. For all the people talking about how they don't like it because it causes withdrawals| that is because methadone is an opioid (also known as a narcotic or an opiate) itself| and all opioids cause withdrawal symptoms after taking them for a long period of time. I started at 20 mg| then quickly went up to 50. After being on it for a few months I thought maybe I could taper and I got down to 20 and was okay for a few weeks| but the cravings came back and were really bad| so my clinic bumped me up to 30 and that's what I take now. I use the orange wafers (also known as disks or diskettes) and I like those better because those last longer. However to get you stabilized| most places will give you liquid only and then transfer you if you want to the wafers because the liquid does start working faster| but as I said the downside of the liquid is it doesn't last as long. Methadone isn't perfect| but it's been a godsend for me. I hate it that I got addicted so young (I am 19) and I don't plan on being on methadone forever| but because of it I have been clean of drugs besides prescribed medications for 4 months now. I have been on methadone longer but I did have a bit of a lapse where I took hydrocodone that wasn't prescribed| but since going back up on my dose from 20 to 30| I have been clean. If you are not as serious of an addict but still can't do it on your own| I think you should try Suboxone first. Methadone in my popnion should only be used if you are really severe (extremely high doses or ""shooting up"")| or if Suboxone has failed.",19-24,Male
24,24, greg| 35-44 Male  on Treatment for 10 years or more (Patient) ,5,4,3,I became addicted to Lortab from pain from having joint bleeds.I have hemophilia.Have been on 120mgs for 13 yrs very expensive and long drive wish could get somewhere else.made me gain 85 lbs.but really don't know what I'd do without it but would be great to get off of it it's such a worry.,35-44,Male
25,25, will44| 35-44 Male  on Treatment for 10 years or more (Patient) ,5,5,5,I was at first like many hating to be attached to a crutch.But if I don't take methadone i relapse because I am an addict 100% it's what Ive done since I was 15 is use drugs and I am 40 now.This drug has saved my life.I function normal as a regular member of the world.You don't have to worry about me stealing from you or breaking into your house or hurting someone to get my needed fix cause I am dope-sick.I work|have a happy marriage|and if I didn't tell you there is no way you would know my history.Ive been on it 10 years and i take 170mg a day at once and no it doesn't get me high!BREAK THE STIGMA METHADONE SAVES LIVES!!!!!!!!!!!,35-44,Male
26,26, 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,4,1,1,Unless you are terminal| I advise you against taking this medication!!!  You are surrendering control of you physical and mental health to your prescriber. You will most likely need anticipate your refill date by 3-5 days (God Forbid you forget!)| pick up hard copies of scripts| run them to the pharmacy| wait for them to be filled...etc.  Also be prepared to continually justify your need for the medication as this is contend with repeated efforts to sell you on expensive epidural injections. Remember| that most if not all healthcare organizations and many physcians are PROFIT DRIVEN. AND| whenever you or your prescriber decides you should stop| be prepared to go through HORRIBLE WITHDRAWALS!|This happens even if you taper down gradually. This is because of the drugs very long half life. My experience has been that pain clinic prescribers either do not know how bad This is or do not care. The research on this is specific opioid is unavailable| only for opiates in general. What is out there is for methadone maintenance for heroin addiction treatment only| but not for chronic pain. Methadone is particularly insidious in that you don't feel the high| but it is a VERY strong drug! And| don't count on the support of your prescriber.  Sure they got you dependent on this opiate and profited from the many appointments| but most doctors and pain clinics will not help you through the withdrawal/detox phase. You will be referred to an inpatient rehab clinic that will charge $1400 - $2|000 per day and you will need to stay for at least 5-days!|PLEASE do you the research if you don't believe me. These medical professionals should be ashamed! ITS ABOUT PROFIT!,55-64,Male
27,27, f150stx| 25-34 Male  on Treatment for 2 to less than 5 years (Patient) ,4,4,4,I was diagnosed with Fibromyalgia and was originally put on OxyContin due to other Fibromyalgia meds not effectively helping control the chronic pain.  The Original OxyContin| prior to them changing it's formulation| worked great| but after the formula was changed its effectiveness went to crap and felt like 1/4 of what it used to be so I was back to square one.||I see a pain management doctor and he recommended Methadone due to its half life| ability to control pain| and cost effectiveness.  I did my research and was worried about the horror stories I read online.  However| I went with my doctor's recommendation because I trust his experience.  ||In the end| I'm glad I made the switch to Methadone.  The monthly cost is SIGNIFICANTLY less ($10-$15 per month versus $250-$300) and I was able to experience its full effectiveness 3-4 days after starting the medication.  I experience less pain and use less breakthrough medication than what I experienced when on OxyContin..  I have been able to remain on the same dosage for over 1 1/2 - 2 years and hope to stay at the same dosage for as long as possible.||Fibromyalgia patients often get dismissed due to the inability to clearly define the root cause of the pain.  As a result| they are forced to live in pain which significantly reduces their quality of life. Everyone's body| symptoms| and effectiveness of some medications are unique.  I'm lucky and thank God every day I have a knowledgeable| empathic| and caring pain management doctor who believes / believes in his patients.  ||To everyone experiencing chronic pain .. I pray / send positive thoughts your way in hopes you find the relief you deserve to not only improve your quality of life but also to enable you to live your life to the fullest instead of just trudging through and merely surviving day by day.||Good luck and Godspeed!,25-34,Male
28,28, Cali| 45-54 Female  on Treatment for 6 months to less than 1 year (Patient) ,5,5,5,PEOPLE THINK THIS DRUG IS ONLY FOR ADDICTION. ITS VERY RELEVENT FOR SEVERE PAIN.  i survived a near unliveable injury and also had late stage Lyme and was in so much pain every day I wanted to die. I saw a spinal specialist and he prescribed Nucenta 50mg x 4 a day and oxycodone 15mg for breakthrough pain= 60 a month. The Nucenta was no longer covered under my insurance.  So they increased the oxycodone to 90 mg a day. I still was in a lot of pain and that fact scared me.  Then I saw a pain specialist in LA. He tried the methadone. USE CAUTION WHEN STARTING NEW MEDS- of course. But I started 5mg methadone x 2 a day in addition to OxyCodone and I was able to cut way down on my oxycodone and 9 months later even have days I skip it with increase of 10mg x 2 daily of methadone. I learned that with joint| tissue and muscoskeletal pain that a combination regimen is amazingly beneficial. Get a pain specialist. A good one. Don't stop until you have relief. Life is worth living without being incapacitated by pain. I try to eat right and walk the dogs daily. Doing great!,45-54,Female
29,29, RedSonia| 45-54 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,"I have had cronic pain since i was 25 years old| I am 50. I did not start taking narcotic pain meds till i was 38. I have taken every medication known to help with cronic pain and methadone is by far the best one for me. I can live a normal healthy active lifestyle that would absolutely not be possible without it. I take 60 mgs a day | 20mgs every 6 hours. I have had to be on higher doses every once in a while (highest dose was 150mgs daily) but once the crisses passed it was fairly easy to reduce dosage. I dont feel high| dosn't make me tired after i got beyond the first couple of weeks when i first started to take for pain 6 years ago.Yes i am physically addicted to it| there is no way around that but im technically physically addicted to my heart medication as well as thyroid meds and diebetic meds also. My body physically requires all of these meds to help funtion to the best of my ability. Am i gonna stress about that fact? Absolutely NOT!! As long as i am following my Drs orders and not abuseing any of my meds the rest is the way it is. Does not make me a drug seeker or a ""druggie""| what it does make me is doing my best to cope with pain and still be a productive part of society. I wish people wouldn't lable those of us who take methadone ""addicts"" there is a HUGE difference between being physically addicted and being a ""drug addict"". I hope this helps you feel better if you were someone who was worried about being labled. Like i said| technically we are all physically addicted to whatever meds we may be taking for multiple afflictions.",45-54,Female
30,30, Tired of PAIN| 45-54 Male  on Treatment for 1 to 6 months (Patient) ,5,5,5,This medication is by far the best for chronic pain.  It's not as easy to get it prescribed as it was 5 years ago.  I finally got my new pain doctor to prescribe it for me.  I was on Methadone 6 or 7 years ago| but withdrew from all pain medications.  My spine has deteriorated tremendously over the last 2 years.  So I reluctantly returned to narcotics| but Methadone helps my pain like no other.,45-54,Male
31,31, NorthwesternAlumni| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,4,5,4,I have bone cancer as well as breast cancer.  The pain is indescribable. Since the only types of pain medicine I had ever had in my life was Tylenol and advil my doctors started me out on Norco.  That didn't do anything and so they kept upping the ante so to speak until I was on a lot of dilaudid. I was feeling like I was loosing myself and that's when my doctor suggested Methadone.  Now I know that this is ignorant and I admit I was ignorant because I thought Methadone was for drug users.  I know that it helps with that problem too| so I am not trying to come off degradingly.  After I spoke with the doctor| I spoke with my family and looked it up online.  I decided that I would trust my doctor and try it.  And I feel great considering. It doesn't make me high or loopy. It makes me still feel like me.  It takes away 90% of the pain which for someone with any severe pain would say is INCREDIBLE.  I do also take dilaudid if I have to but those days are few. I love not having to hide in bed because I am loopy.  What little life I have in between treatments is my life again as it should be and I even have more confidence with treating both cancers and its because I am able to control most of the pain.,25-34,Female
32,32, ice25| 25-34 Female  on Treatment for less than 1 month (Patient) ,4,5,4,I have been on methadone for a little over a month now im on 130 ml. Have been clean off heroin &fetanol for almost a month now...It works pretty well it does not get you high just makes u not dope sick. Iv been able to live a normal life for about a month now . its been grea,25-34,Female
33,33, steve l.| 55-64 Male  on Treatment for 2 to less than 5 years,1,1,1,I've been off methadone for 19 days.do NOT ever take this drug for any kind of extended time!I stopped cold turkey when my guy was busted.30 mgs.per day to for 4 yrs.-to 0.the withdrawal is indescribable! think of the worst 10 days of your life|and multiply by 20!it doesn't stop there.i'm thinking 45 days or more.I'm gonna hang in because I'm seeing some major improvement.make yourself exercise and take vitamins.whatever doesn't kill you makes you stronger!,55-64,Male
34,34, Working Man| 45-54 Male  (Patient) ,5,5,5,Although I'm new with it| I think I can accurately describe exactly how it works/feels to me. (35 mg. liquid dose): it's a famtastic anxiolytic. Does not feel like a benzodiazepine| thankfully| but Methadone does give a satisfying state of total relaxation. Barely want to move| but I say that in a nice away. I was surprised by the deeply-satisfying relaxation| because Heroin junkies say Methadone isn't much. (Then again junkies are chronic whiners). I also like the fact that Methadone's effects last for a long time. Wake up the next day still pleasantly relaxed. Pain relief I'd rate only as moderate though| I could see it being ok for mild pain| but not for severe pain. But in summary Methadone is an excellent anxiolytic.,45-54,Male
35,35, carl| 45-54 Male  on Treatment for less than 1 month (Patient) ,5,5,5,clogged artery in both legs| surgery on rt leg. in hospital for 77 days| was on that all that time. I just stop taking morphine for last 2 yrs. 180mg a day it made me have stomach problems and fell like crap most of the day it did take away the pain.but I want a chang,45-54,Male
36,36, Marshanipper1| 55-64 Female  on Treatment for 10 years or more (Patient) ,4,4,1,I have been on Methadone for 10 years at .5 mg x 2 times a day.  My pain doc said it was a baby dose.  I decided four months ago to withdraw. I started slowly and continued until I was down to just a small piece of the pill.  I was hospitalized one month ago and haven't had the drug since. OMG| I feel like I am having an out of body experience.  My feet| hands| lips are numb.  I can't sleep| eat or function.  I am a complete mess and didn't understand why until I read your comments.  Now that I know I will contact me pain doc and ask for another Rx to continue withdrawing. What a shame.  I never abused this drug.  Was afraid of it from the very beginning but nothing else was working.  Now you have to go to the doctor| secure the Rx| must have a diagnosis code and then| and only then will the pharmacist fill it.  She/he has the right to say NO. Will look at your controlled substance list and will determine if you need med.  The FDA makes the pharmacist file a stack of paperwork to account for your Rx.  Beware| it will be much harder to get and hard-core addicts will be buying it on the street corner. I am praying hard for relief and will continue with .25 mg a day and see what happens.  Think twice before taking this drug.  May you all be well and advised.,55-64,Female
37,37, Debrah| 55-64 Female  on Treatment for 10 years or more (Patient) ,5,5,5,I was on oxycontin and hydrocodone for 5 years which really screwed up my mental outlook. Was switched to this med; I take 20mg four times a day and it has allowed me to have a normal life. There is no mental manipulation as before and I can be myself and live with my pain. If it weren't for this medication I think I would be a very messed up patient. Am going on my 10th year and it has been working perfectly. I won't let anyone change my meds without a fight.,55-64,Female
38,38, sheets| 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,first started taken methadone at a clinic to get off herion in 2008|can honestly say that i|ve not shot up since the first day i was on it|works great for that|now i take it for chronic pain from lower back|plus i have stage 4 copd|works great for pain an my breathing|i take the liquid|it|s hard to find a doctor to prescribe it for you outside of a clinic setting|but i go to a pallitive care doctor cause i|m terminally ill..i|m on 80 mgs in the morning and 40 mgs at night..and i don|t take any other pain meds..like so many has said it gave me my life back..without it|i wouldnot be here today..been on it for 6 years now|and not looking to get off of it..,55-64,Male
39,39, HappyJoyousFreeB| 19-24 Female  on Treatment for 1 to 6 months (Patient) ,5,4,5,I am 23 y/o & have battled Opioid Dependance for 7 years now. I have tried Suboxone maintenance programs| detox programs with Suboxone| detox programs with Subutex| 12 step programs| counseling| going the religious route| & just going flat out 'cold turkey'. Through all of this I had a sincere desire to sober up & change my life for the better yet I couldn't seem to stick to it for one reason or another| no matter what I did. Then I was introduced to the Methadone Clinic from a family member (Opioid Dependance/Addiction runs heavily throughout my family) and so I figured I would give it a go. I had tried everything else & realistically had nothing left to lose. I have been going for a little over two months now & have been clean and sober ever since. I'm sure a lot of people out there carry a negative stigma when it comes to Methadone Clinics & the people who go there every morning... I know I did! But little did I know it would soon become literally the only thing out there that could & would keep a needle out of my arm. I just want to throw out there that this is strictly my experience; this is what worked for me... I pray that no one else out there will struggle for as long as I did| or allow it to get to the extent that I did. But like I said| I haven't been going for long & I am already weaning down off of my original 85 mg dose. I work a 12 step program as well & my sponsor knows about everything regarding the Methadone. I used to hold a lot of guilt for taking the medication while working a 12 step program but today I know that my heart is in the right place & that I want to be 100% mind altering substance free; hence the reason I am already coming down.I just have to remember that I am not a doctor & that this will take time because I do tend to beat myself up & get ahead of myself. Overall this whole experience has benefited me immensely & I wholeheartedly recommend this to anyone who is still suffering & knows they're ready to start living a better life.,19-24,Female
40,40, angelfish| 55-64 Female  on Treatment for 5 to less than 10 years (Patient) ,2,4,1,Took for several yrs.Developed Secondary Adrenal Insufficiency from taking this. Only Endocrinologists seem to know this can happen| my Pain Spec. were unaware. After yrs of suffering| diagnosed-but told don't stop methadone just take a steroid like Hydrocortizone or prednisone every day.MISERY .After a yr I couldn't take how I felt -decided to detox off both!! In 3 wks my pituitary function returned. Now i can get over the effects of muscle wasting|low hormones|skin bruising & tearing|low energy etc.It's been a 1 1/2 yrs.I'm doing well| able to take a short acting pain med for pain a couple times a day. Beware of Methadone is my advice.,55-64,Female
41,41, KatieJo1988| 25-34 Female  on Treatment for 1 to 6 months (Patient) ,5,4,5,"My addiction to pain pills started shortly before having surgery on my ankle in march 2012. I failed several attempts at getting clean. This time when I went to the hospital for detox I was started on methadone and the doctor talked to me about long term use of methadone| the pros and cons| so on and so fourth. Knowing how bad my addiction to opiates had gotten| I was desperate for a solution to help me get clean and STAY clean.||I was hurt in the military so even after my surgery I still had chronic pain however I was not able to control my use of the pain pills. So I needed something to help me not abuse opiates yet help with my continued daily pain as well. One of the times I tried to quit I was put on Suboxone| which made me extremely sick| found out I was allergic to it after several different trials of forms and mgs. ||This time around I started Methadone. All I can say is| METHADONE HAS CHANGED AND SAVED MY LIFE. I am able to live a ""normal"" life!!!!!!!! I am able to get up and do everyday tasks with ease| I am able to be an amazing mother to my 3 year old daughter| I am able to set goals and successfully take the steps to achieve them. I will say the task of going to the clinic everyday to get it has been a pain in the butt| although it beats chasing pain pills 24/7 365. ||Needless to say| I am VERY happy and satisfied. My main side effects are constipation| sugar cravings| extreme drowsiness and profuse sweating. There is a supplement (non prescription) that is available directly from the manufacturer to address these particular side effects. I cannot recall the name however I am trying to look it up as we speak. My clinic informed me of this supplement and has heard nothing but good things about it so as soon as I find it again I am going to order it and try it.|Methadone has a bad rep so people argue with me all the time about it| however if they haven't been in my shoes their opinion doesn't matter to me.|| Methadone saved my life.",25-34,Female
42,42, bill                   | 55-64 Male  on Treatment for 5 to less than 10 years (Patient) ,5,5,4,reatment expensive at substance abuse clinic. Looking for Doctor to prescribe this medication for me.,55-64,Male
43,43, NICK M.| 45-54 Male  on Treatment for 10 years or more (Patient) ,5,5,5,"I read one review where the Lady says that the pharmacists have limited the amount of Meds they dispense. Sweetheart I hate to tell you|but it's not the pharmacy| Yes there are one's out there that think they are ""GOD"" and won't fill your Meds| but chain stores| most of them anyway won't carry Methadone. But the real A-Holes are the DEA| and the FDA| they think they know more than your DR. And in the interest of safety| have restricted the amount that a store that does carry it| can purchase| thus the problem. I was just starting to get my life back| after ten years of unrelenting low Back pain that kept me pretty much house-bound since the surgery| then to have these MF'S take it away| because some IDIOTS OD THEMSELVES| Good riddance. To take the only medicine that ever worked| and they tried everything on me| makes me madder than you can imagine| put the little pencil neck in front of me and I will teach him about PAIN.",45-54,Male
44,44, PatriotM| 35-44 Female  on Treatment for 10 years or more (Patient) ,5,5,4,I have idiopathic scoliosis and I'm fairly hunched over. Can't have surgery due to other health issues. Almost 20yrs. ago I was put on Methadone to help me get off of Vicodin. The doctor realized I may as well stay on it for pain since it was the only pain med that I wouldn't grow tolerant to as the years go by. I was on a very high dose in the beginning| over 200mg. Now I'm at 30-40mg. a day and able to function (walk!) WISH I HAD KNOWN: Strips you of Calcium/Vita D to the point of osteoporosis. Highly addictive| G-D help me if I'm late taking it or worse| something stops availability| etc. Diabetes-everyone I know on it is getting Diabetes| like me. The stigma and lack of education of doctors and esp. nurses. Staring at your arms looking for injection scars| asking mean questions| talking down to you. Nodding off| esp. if you smoke. There go your nice floors/carpets! BUT| I believe it has saved my life| even with the bad stuff it's caused. As for pain relief| nothing can touch it or even come close. Take as low a dose as possible.,35-44,Female
45,45, linda| 55-64 Female  on Treatment for 5 to less than 10 years (Patient) ,5,5,5,very good no problems lasts long period between taking dr taking away cause; fed law i have 4th stage liver disiese hep do not drink never have fibromyalgia gall bladder fused discs bone spur in knee chronic pain..............helps ease all.,55-64,Female
47,47, MEME| 45-54 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,PHARMACISTS HAVE FORCED ME INTO NOT BEING ABLE TO OBTAIN THIS MEDICATION ANYMORE. ONLY ABLE TO OBTAIN THE MUCH MORE EXPENSIVE PAIN MEDS| ONE OF WHICH GAVE ME A MASSIVE MIGRAINE FOR THREE DAYS HAD TO GO TO THE HOSPITAL. |I THINK IT STINKS THAT PHARMACIES DICTATE WHAT YOUR DOCTOR OF TEN PLUS YEARS CAN PRESCRIBE TO YOU.,45-54,Female
51,51, ElizabethC1983| 25-34 Female  on Treatment for 2 to less than 5 years (Patient) ,5,5,5,Nothing has ever worked for me before I started methadone! |Me and my family and friends are very happy I started the program!,25-34,Female
